Category;Family;StyleName;Slope
slab serif;Adverb Mono;Adverb Mono Bold;90.0
slab serif;Adverb Mono;Adverb Mono Light;90.0
slab serif;Adverb Mono;Adverb Mono Medium;90.0
slab serif;Adverb Mono;Adverb Mono Regular;90.0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;90.0
slab serif;Adverb Mono;Adverb Mono Thin;90.0
slab serif;Advertiser JNL;Advertiser JNL;90.0
slab serif;Aila;Aila Black Italic;100.99999904632568
slab serif;Aila;Aila Black;90.0
slab serif;Aila;Aila Bold Italic;100.99999904632568
slab serif;Aila;Aila Bold;90.0
slab serif;Aila;Aila Light Italic;100.99999904632568
slab serif;Aila;Aila Light;90.0
slab serif;Aila;Aila Regular Italic;100.99999904632568
slab serif;Aila;Aila Regular;90.0
slab serif;Aldogizio™;Aldogizio Black;90.0
slab serif;Aldogizio™;Aldogizio Bold Italic;102.99999904632568
slab serif;Aldogizio™;Aldogizio Bold;90.0
slab serif;Aldogizio™;Aldogizio Heavy;90.0
slab serif;Aldogizio™;Aldogizio Light Italic;102.0
slab serif;Aldogizio™;Aldogizio Light;90.0
slab serif;Aldogizio™;Aldogizio Medium Italic;102.0
slab serif;Aldogizio™;Aldogizio Medium;90.0
slab serif;Aldogizio™;Aldogizio SemiBold Italic;102.0
slab serif;Aldogizio™;Aldogizio SemiBold;90.0
slab serif;Alight Slab™;Alight Slab Regular;90.0
slab serif;Amazing Slab;Amazing Slab Black Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Black;90.0
slab serif;Amazing Slab;Amazing Slab Bold Italic;180.0
slab serif;Amazing Slab;Amazing Slab Bold;90.0
slab serif;Amazing Slab;Amazing Slab Extrabold Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Extrabold;90.0
slab serif;Amazing Slab;Amazing Slab Extralight Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Extralight;90.0
slab serif;Amazing Slab;Amazing Slab Inline Black;90.0
slab serif;Amazing Slab;Amazing Slab Inline Bold;90.0
slab serif;Amazing Slab;Amazing Slab Inline Extrabold;90.0
slab serif;Amazing Slab;Amazing Slab Inline Medium;90.0
slab serif;Amazing Slab;Amazing Slab Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Light Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Light;90.0
slab serif;Amazing Slab;Amazing Slab Medium Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Medium;90.0
slab serif;Amazing Slab;Amazing Slab Regular;90.0
slab serif;Amazing Slab;Amazing Slab Thin Italic;105.99999904632568
slab serif;Amazing Slab;Amazing Slab Thin;90.0
slab serif;Amazing Slab;Amazing Slab Variable;90.0
slab serif;Anaphora;Anaphora Bold Italic;102.0
slab serif;Anaphora;Anaphora Bold;90.0
slab serif;Anaphora;Anaphora Book Italic;102.0
slab serif;Anaphora;Anaphora Book;90.0
slab serif;Anaphora;Anaphora Extra Bold Italic;102.99999904632568
slab serif;Anaphora;Anaphora Extra Bold;90.0
slab serif;Anaphora;Anaphora Extra Light Italic;100.99999904632568
slab serif;Anaphora;Anaphora Extra Light;90.0
slab serif;Anaphora;Anaphora Fat Italic;100.99999904632568
slab serif;Anaphora;Anaphora Fat;90.0
slab serif;Anaphora;Anaphora Italic;100.99999904632568
slab serif;Anaphora;Anaphora Light Italic;100.99999904632568
slab serif;Anaphora;Anaphora Light;90.0
slab serif;Anaphora;Anaphora Medium Italic;102.0
slab serif;Anaphora;Anaphora Medium;90.0
slab serif;Anaphora;Anaphora Regular;90.0
slab serif;Anaphora;Anaphora Stencil Book;90.0
slab serif;Anaphora;Anaphora Stencil Extra Bold;90.0
slab serif;Anaphora;Anaphora Stencil Fat;90.0
slab serif;Anaphora;Anaphora Stencil Thin;90.0
slab serif;Anaphora;Anaphora Thin Italic;100.99999904632568
slab serif;Anaphora;Anaphora Thin;90.0
slab serif;Archipad Pro;Archipad Pro Black Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Black;90.0
slab serif;Archipad Pro;Archipad Pro Black Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Black Slab;90.0
slab serif;Archipad Pro;Archipad Pro Bold Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Bold;90.0
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Bold Slab;90.0
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Extra Bold;90.0
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;90.0
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Extra Light;90.0
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;90.0
slab serif;Archipad Pro;Archipad Pro Light Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Light;90.0
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Light Slab;90.0
slab serif;Archipad Pro;Archipad Pro Medium Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Medium;90.0
slab serif;Archipad Pro;Archipad Pro Medium Slab Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Medium Slab;90.0
slab serif;Archipad Pro;Archipad Pro Oblique;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Oblique Slab;99.99999904632568
slab serif;Archipad Pro;Archipad Pro Regular;90.0
