Category;Family;Style;Connections;Average connections
script;1420 Gothic Script;1420 Gothic Script Normal;3
script;1431 Humane Niccoli;1431 Humane Niccoli Normal;2
script;1475 Bastarde Manual;1475 Bastarde Manual Normal;3
script;1491 Cancellaresca;1491 Cancellaresca Normal;0
script;1522 Vicentino;1522 Vicentino;1
script;1536 Civilite Manual;1536 Civilite Manual;2
script;1540 Mercator Script;1540 Mercator Script Normal;2
script;1557 Civilité Granjon;1557 Civilite Granjon Pro;1
script;1557 Italique;1557_Italique;0
script;161 Vergilius;161 Vergilius;0
script;1610 Cancellaresca;1610 Cancellaresca Normal;1
script;1613 Basilius;1613 Basilius;0
script;1634 René Descartes;1634 Rene Descartes Normal;0
script;1638 Civilite Manual;1638 Civilite Manual;1
script;1648 Chancellerie;1648 Chancellerie;1
script;1672 Isaac Newton;1672 Isaac Newton;1
script;1682 Writhed Hand;1682 Writhed Hand;2
script;1695 Captain Flint;1695 Captain Flint Ru;2
script;1695 Captain Flint;1695 Captain Flint;2
script;1715 Jonathan Swift™;1715 Jonathan Swift;2
script;1741 Financiere;1741 Financiere Italic;0
script;1741 Financiere;1741 Financiere Title Italic;0
script;1742 Civilite;1742 Civilite;0
script;1781 La Fayette;1781 La Fayette Normal;3
script;1791 Constitution;1791 Constitution;1
script;1792 La Marseillaise;1792 La Marseillaise;0
script;1805 Austerlitz Script;1805 Austerlitz Script Light;0
script;1809 Homer;1809 Homer;2
script;1815 Waterloo;1815 Waterloo Normal;3
script;1845 Mistress;1845 Mistress Italic;4
script;1848 Barricades;1848 Barricades Italic;0
script;1859 Solferino;1859 Solferino Light Caps;2
script;1859 Solferino;1859 Solferino Light;0
script;1863 Gettysburg;1863 Gettysburg Bold;3
script;1863 Gettysburg;1863 Gettysburg Normal;4
script;1864 GLC Monogram;1864 GLC Monogram AB;0
script;1864 GLC Monogram;1864 GLC Monogram CD;0
script;1864 GLC Monogram;1864 GLC Monogram EF;0
script;1864 GLC Monogram;1864 GLC Monogram GH;0
script;1864 GLC Monogram;1864 GLC Monogram IJ;0
script;1864 GLC Monogram;1864 GLC Monogram Initials;0
script;1864 GLC Monogram;1864 GLC Monogram KL;0
script;1864 GLC Monogram;1864 GLC Monogram MN;0
script;1864 GLC Monogram;1864 GLC Monogram OP;0
script;1864 GLC Monogram;1864 GLC Monogram QR;0
script;1864 GLC Monogram;1864 GLC Monogram ST;0
script;1864 GLC Monogram;1864 GLC Monogram UV;0
script;1864 GLC Monogram;1864 GLC Monogram WX;0
script;1864 GLC Monogram;1864 GLC Monogram YZ;0
script;1871 Dreamer 2 Pro;1871 Dreamer 2 Pro;3
script;1871 Dreamer Script;1871 Dreamer Script Normal;3
script;1871 Victor Hugo;1871 Victor Hugo;0
script;1880 Kurrentshrift;1880 Kurrentshrift Easy;4
script;1880 Kurrentshrift;1880 Kurrentshrift;1
script;1885 Germinal;1885 Germinal Normal;0
