Category;Family;Style;Connections;Average connections
slab serif;Adverb Mono;Adverb Mono Bold;0;0,14
slab serif;Adverb Mono;Adverb Mono Light;0;
slab serif;Adverb Mono;Adverb Mono Medium;0;
slab serif;Adverb Mono;Adverb Mono Regular Pixel;0;
slab serif;Adverb Mono;Adverb Mono Regular;0;
slab serif;Adverb Mono;Adverb Mono Thin;0;
slab serif;Advertiser JNL;Advertiser JNL;0;
slab serif;Aila;Aila Black Italic;0;
slab serif;Aila;Aila Black;0;
slab serif;Aila;Aila Bold Italic;0;
slab serif;Aila;Aila Bold;0;
slab serif;Aila;Aila Light Italic;0;
slab serif;Aila;Aila Light;0;
slab serif;Aila;Aila Regular Italic;0;
slab serif;Aila;Aila Regular;0;
slab serif;Aldogizio™;Aldogizio Black;0;
slab serif;Aldogizio™;Aldogizio Bold Italic;0;
slab serif;Aldogizio™;Aldogizio Bold;0;
slab serif;Aldogizio™;Aldogizio Heavy;0;
slab serif;Aldogizio™;Aldogizio Light Italic;0;
slab serif;Aldogizio™;Aldogizio Light;0;
slab serif;Aldogizio™;Aldogizio Medium Italic;0;
slab serif;Aldogizio™;Aldogizio Medium;0;
slab serif;Aldogizio™;Aldogizio SemiBold Italic;0;
slab serif;Aldogizio™;Aldogizio SemiBold;0;
slab serif;Alight Slab™;Alight Slab Regular;0;
slab serif;Amazing Slab;Amazing Slab Black Italic;0;
slab serif;Amazing Slab;Amazing Slab Black;0;
slab serif;Amazing Slab;Amazing Slab Bold Italic;0;
slab serif;Amazing Slab;Amazing Slab Bold;0;
slab serif;Amazing Slab;Amazing Slab Extrabold Italic;0;
slab serif;Amazing Slab;Amazing Slab Extrabold;0;
slab serif;Amazing Slab;Amazing Slab Extralight Italic;0;
slab serif;Amazing Slab;Amazing Slab Extralight;0;
slab serif;Amazing Slab;Amazing Slab Inline Black;0;
slab serif;Amazing Slab;Amazing Slab Inline Bold;0;
slab serif;Amazing Slab;Amazing Slab Inline Extrabold;0;
slab serif;Amazing Slab;Amazing Slab Inline Medium;0;
slab serif;Amazing Slab;Amazing Slab Italic;0;
slab serif;Amazing Slab;Amazing Slab Light Italic;0;
slab serif;Amazing Slab;Amazing Slab Light;0;
slab serif;Amazing Slab;Amazing Slab Medium Italic;0;
slab serif;Amazing Slab;Amazing Slab Medium;0;
slab serif;Amazing Slab;Amazing Slab Regular;0;
slab serif;Amazing Slab;Amazing Slab Thin Italic;0;
slab serif;Amazing Slab;Amazing Slab Thin;0;
slab serif;Amazing Slab;Amazing Slab Variable;0;
slab serif;Anaphora;Anaphora Bold Italic;0;
slab serif;Anaphora;Anaphora Bold;0;
slab serif;Anaphora;Anaphora Book Italic;0;
slab serif;Anaphora;Anaphora Book;0;
slab serif;Anaphora;Anaphora Extra Bold Italic;0;
slab serif;Anaphora;Anaphora Extra Bold;0;
slab serif;Anaphora;Anaphora Extra Light Italic;0;
slab serif;Anaphora;Anaphora Extra Light;0;
slab serif;Anaphora;Anaphora Fat Italic;0;
slab serif;Anaphora;Anaphora Fat;0;
slab serif;Anaphora;Anaphora Italic;0;
slab serif;Anaphora;Anaphora Light Italic;0;
slab serif;Anaphora;Anaphora Light;0;
slab serif;Anaphora;Anaphora Medium Italic;0;
slab serif;Anaphora;Anaphora Medium;0;
slab serif;Anaphora;Anaphora Regular;0;
slab serif;Anaphora;Anaphora Stencil Book;0;
