category;family;style;glyph;regions;straights;angles;curves
slab serif;Adverb Mono;Adverb Mono Bold;a;2;14;9;15
slab serif;Adverb Mono;Adverb Mono Bold;H;1;27;28;0
slab serif;Adverb Mono;Adverb Mono Bold;k;1;13;15;8
slab serif;Adverb Mono;Adverb Mono Bold;o;2;7;0;16
slab serif;Adverb Mono;Adverb Mono Bold;p;2;9;10;13
slab serif;Adverb Mono;Adverb Mono Bold;x;1;17;12;11
slab serif;Adverb Mono;Adverb Mono Light;a;2;11;8;15
slab serif;Adverb Mono;Adverb Mono Light;H;1;27;28;0
slab serif;Adverb Mono;Adverb Mono Light;k;1;13;15;4
slab serif;Adverb Mono;Adverb Mono Light;o;2;8;0;21
slab serif;Adverb Mono;Adverb Mono Light;p;2;11;10;11
slab serif;Adverb Mono;Adverb Mono Light;x;1;16;13;11
slab serif;Adverb Mono;Adverb Mono Medium;a;2;11;9;15
slab serif;Adverb Mono;Adverb Mono Medium;H;1;27;28;0
slab serif;Adverb Mono;Adverb Mono Medium;k;1;14;15;8
slab serif;Adverb Mono;Adverb Mono Medium;o;2;5;0;15
slab serif;Adverb Mono;Adverb Mono Medium;p;2;9;11;11
slab serif;Adverb Mono;Adverb Mono Medium;x;1;14;12;12
slab serif;Adverb Mono;Adverb Mono Regular;a;2;13;8;18
slab serif;Adverb Mono;Adverb Mono Regular;H;1;27;28;0
slab serif;Adverb Mono;Adverb Mono Regular;k;1;14;15;6
slab serif;Adverb Mono;Adverb Mono Regular;o;2;9;0;17
slab serif;Adverb Mono;Adverb Mono Regular;p;2;9;9;13
slab serif;Adverb Mono;Adverb Mono Regular;x;1;16;13;11
slab serif;Adverb Mono;Adverb Mono Regular Pixel;a;2;35;35;0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;H;1;26;28;0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;k;1;47;48;0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;o;2;31;31;0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;p;2;36;38;0
slab serif;Adverb Mono;Adverb Mono Regular Pixel;x;1;59;60;0
slab serif;Adverb Mono;Adverb Mono Thin;a;2;13;8;18
slab serif;Adverb Mono;Adverb Mono Thin;H;1;26;28;0
slab serif;Adverb Mono;Adverb Mono Thin;k;1;15;16;3
slab serif;Adverb Mono;Adverb Mono Thin;o;2;6;0;22
slab serif;Adverb Mono;Adverb Mono Thin;p;2;10;10;11
slab serif;Adverb Mono;Adverb Mono Thin;x;1;14;12;10
slab serif;Advertiser JNL;Advertiser JNL;a;2;16;16;3
slab serif;Advertiser JNL;Advertiser JNL;H;2;32;32;0
