Category;Family;StyleName;Slope
sans serif;066 Army;066 Army;90.0
sans serif;10.12™;10.12 Commercial;90.0
sans serif;21st;21st Black Italic;102.0
sans serif;21st;21st Black;90.0
sans serif;21st;21st Bold Italic;102.0
sans serif;21st;21st Bold;90.0
sans serif;21st;21st Fine Italic;102.0
sans serif;21st;21st Fine;90.0
sans serif;21st;21st Italic;102.0
sans serif;21st;21st Outline Italic;102.0
sans serif;21st;21st Outline;90.0
sans serif;21st;21st Regular;90.0
sans serif;21st;21st Round Black Italic;102.0
sans serif;21st;21st Round Black;90.0
sans serif;21st;21st SuperFine Italic;102.0
sans serif;21st;21st SuperFine;90.0
sans serif;2 Mass J1808;2 Mass J1808 Bold;90.0
sans serif;2 Mass J1808;2 Mass J1808 Extra Bold;90.0
sans serif;2 Mass J1808;2 Mass J1808 Medium;90.0
sans serif;2 Mass J1808;2 Mass J1808 Regular;90.0
sans serif;2 Mass J1808;2 Mass J1808 Semi Bold;90.0
sans serif;360;360;90.99999994039536
sans serif;3D Cocoro™;3D Cocoro Bo;90.0
sans serif;3D Cocoro™;3D Cocoro;90.0
sans serif;45 Degrees;45 Degrees Italic;102.0
sans serif;45 Degrees;45 Degrees Light Italic;102.0
sans serif;45 Degrees;45 Degrees Light;90.0
sans serif;45 Degrees;45 Degrees Regular;90.0
sans serif;45 Degrees;45 Degrees UltraLight Italic;102.0
sans serif;45 Degrees;45 Degrees UltraLight;90.0
sans serif;52 Kfx;52 Kfx High;90.0
sans serif;52 Kfx;52 Kfx Low;90.0
sans serif;52 Kfx;52 Kfx Mid;90.0
sans serif;90 Flinders Street;Flinders Street;90.0
sans serif;946 Latin;946 Latin Dense 1 L;261.99998474121094
sans serif;946 Latin;946 Latin Dense 1;90.0
sans serif;946 Latin;946 Latin Dense 1 R;97.99999952316284
sans serif;946 Latin;946 Latin Dense 2 L;261.99998474121094
sans serif;946 Latin;946 Latin Dense 2;90.0
sans serif;946 Latin;946 Latin Dense 2 R;97.99999952316284
sans serif;946 Latin;946 Latin Dense 3 L;261.99998474121094
sans serif;946 Latin;946 Latin Dense 3;90.0
sans serif;946 Latin;946 Latin Dense 3 R;97.99999952316284
sans serif;946 Latin;946 Latin Dense 4 L;261.99998474121094
sans serif;946 Latin;946 Latin Dense 4;90.0
sans serif;946 Latin;946 Latin Dense 4 R;97.99999952316284
sans serif;946 Latin;946 Latin Dense 5 L;261.99998474121094
sans serif;946 Latin;946 Latin Dense 5;90.0
sans serif;946 Latin;946 Latin Dense 5 R;97.99999952316284
sans serif;946 Latin;946 Latin Regular 1 L;261.99998474121094
sans serif;946 Latin;946 Latin Regular 1;90.0
sans serif;946 Latin;946 Latin Regular 1 R;97.99999952316284
sans serif;946 Latin;946 Latin Regular 2 L;261.99998474121094
sans serif;946 Latin;946 Latin Regular 2;90.0
sans serif;946 Latin;946 Latin Regular 2 R;97.99999952316284
sans serif;946 Latin;946 Latin Regular 3 L;261.99998474121094
sans serif;946 Latin;946 Latin Regular 3;90.0
sans serif;946 Latin;946 Latin Regular 3 R;97.99999952316284
sans serif;946 Latin;946 Latin Regular 4 L;261.99998474121094
sans serif;946 Latin;946 Latin Regular 4;90.0
sans serif;946 Latin;946 Latin Regular 4 R;97.99999952316284
sans serif;946 Latin;946 Latin Regular 5 L;261.99998474121094
sans serif;946 Latin;946 Latin Regular 5;90.0
sans serif;946 Latin;946 Latin Regular 5 R;97.99999952316284
sans serif;946 Latin;946 Latin Semidense 1 L;261.99998474121094
sans serif;946 Latin;946 Latin Semidense 1;90.0
sans serif;946 Latin;946 Latin Semidense 1 R;97.99999952316284
sans serif;946 Latin;946 Latin Semidense 2 L;261.99998474121094
sans serif;946 Latin;946 Latin Semidense 2;90.0
sans serif;946 Latin;946 Latin Semidense 2 R;97.99999952316284
sans serif;946 Latin;946 Latin Semidense 3 L;261.99998474121094
sans serif;946 Latin;946 Latin Semidense 3;90.0
sans serif;946 Latin;946 Latin Semidense 3 R;97.99999952316284
sans serif;946 Latin;946 Latin Semidense 4 L;261.99998474121094
sans serif;946 Latin;946 Latin Semidense 4;90.0
sans serif;946 Latin;946 Latin Semidense 4 R;97.99999952316284
sans serif;946 Latin;946 Latin Semidense 5 L;261.99998474121094
sans serif;946 Latin;946 Latin Semidense 5;90.0
sans serif;946 Latin;946 Latin Semidense 5 R;97.99999952316284
