Category;Family;StyleName;Slope
script;1420 Gothic Script;1420 Gothic Script Normal;-
script;1431 Humane Niccoli;1431 Humane Niccoli Normal;-
script;1475 Bastarde Manual;1475 Bastarde Manual Normal;-
script;1491 Cancellaresca;1491 Cancellaresca Normal;96.99999952316284
script;1522 Vicentino;1522 Vicentino;99.99999904632568
script;1536 Civilite Manual;1536 Civilite Manual;-
script;1540 Mercator Script;1540 Mercator Script Normal;109.99999809265137
script;1557 Civilité Granjon;1557 Civilite Granjon Pro;-
script;1557 Italique;1557_Italique;-
script;161 Vergilius;161 Vergilius;91.99999988079071
script;1610 Cancellaresca;1610 Cancellaresca Normal;102.99999904632568
script;1613 Basilius;1613 Basilius;108.99999809265137
script;1634 René Descartes;1634 Rene Descartes Normal;130.99999618530273
script;1638 Civilite Manual;1638 Civilite Manual;-
script;1648 Chancellerie;1648 Chancellerie;114.0
script;1672 Isaac Newton;1672 Isaac Newton;-
script;1682 Writhed Hand;1682 Writhed Hand;-
script;1695 Captain Flint;1695 Captain Flint Ru;-
script;1695 Captain Flint;1695 Captain Flint;-
script;1715 Jonathan Swift™;1715 Jonathan Swift;-
script;1741 Financiere;1741 Financiere Italic;108.0
script;1741 Financiere;1741 Financiere Title Italic;-
script;1742 Civilite;1742 Civilite;-
script;1781 La Fayette;1781 La Fayette Normal;114.0
script;1791 Constitution;1791 Constitution;129.0
script;1792 La Marseillaise;1792 La Marseillaise;-
script;1805 Austerlitz Script;1805 Austerlitz Script Light;132.99999618530273
script;1809 Homer;1809 Homer;-
script;1815 Waterloo;1815 Waterloo Normal;-
script;1845 Mistress;1845 Mistress Italic;114.0
script;1848 Barricades;1848 Barricades Italic;-
script;1859 Solferino;1859 Solferino Light Caps;-
script;1859 Solferino;1859 Solferino Light;-
script;1863 Gettysburg;1863 Gettysburg Bold;-
script;1863 Gettysburg;1863 Gettysburg Normal;-
script;1864 GLC Monogram;1864 GLC Monogram AB;96.99999952316284
script;1864 GLC Monogram;1864 GLC Monogram CD;265.99998474121094
script;1864 GLC Monogram;1864 GLC Monogram EF;-
script;1864 GLC Monogram;1864 GLC Monogram GH;263.99998474121094
script;1864 GLC Monogram;1864 GLC Monogram IJ;-
script;1864 GLC Monogram;1864 GLC Monogram Initials;-
script;1864 GLC Monogram;1864 GLC Monogram KL;99.99999904632568
script;1864 GLC Monogram;1864 GLC Monogram MN;90.0
script;1864 GLC Monogram;1864 GLC Monogram OP;-
script;1864 GLC Monogram;1864 GLC Monogram QR;93.0
script;1864 GLC Monogram;1864 GLC Monogram ST;-
script;1864 GLC Monogram;1864 GLC Monogram UV;-
script;1864 GLC Monogram;1864 GLC Monogram WX;-
script;1864 GLC Monogram;1864 GLC Monogram YZ;-
script;1871 Dreamer 2 Pro;1871 Dreamer 2 Pro;133.99999618530273
script;1871 Dreamer Script;1871 Dreamer Script Normal;-
script;1871 Victor Hugo;1871 Victor Hugo;-
script;1880 Kurrentshrift;1880 Kurrentshrift Easy;123.0
script;1880 Kurrentshrift;1880 Kurrentshrift;143.99999618530273
script;1885 Germinal;1885 Germinal Normal;100.99999904632568
script;1890 Registers Script;1890 Registers' Script Normal;-
script;1920 French Script Pro;1920 French Script Pro;-
script;1968 GLC Graffiti;1968 GLC Graffiti Bold;-
script;2 Rebels Un;2 Rebels Un;90.0
script;2008 Script 2;2008 Script 2 Normal;90.0
script;2009 Handymade;2009 Handymade Normal;91.99999988079071
script;2009 Lollipop;2009 Lollipop Normal;100.99999904632568
script;2009 Primitive;2009 Primitive;90.0
script;2010 Cancellaresca Recens;2010 Cancellaresca Recens;100.99999904632568
script;2010 Pipo;2010 Pipo Classic Italic;108.0
script;2010 Pipo;2010 Pipo Classic;264.99998474121094
script;2010 Pipo;2010 Pipo Pro Italic;108.0
script;2010 Pipo;2010 Pipo Pro;264.99998474121094
script;2011 Slimtype Sans;2011 Slimtype Sans Italic;105.0
script;2011 Slimtype Sans;2011 Slimtype Sans;90.0
script;23rd Street;23 rd Street;96.0
script;6th Aniversario;6th Aniversario;90.0
script;750 Latin Uncial;750 Latin Uncial Normal;90.0
script;825 Karolus;825 Karolus Normal;-
script;825 Karolus;825 Karolus Titlings Normal;266.99998474121094
script;9 Months;9 Months Bold Italic;103.99999904632568
script;9 Months;9 Months Bold;90.0
script;A Little of Love;A Little of Love Dingbats;-
script;A Little of Love;A Little of Love Regular;-
script;ABC Basisschrift®;ABC Basisschrift Book;90.0
script;ABTS milk;ABTS milk;99.0
script;AE Prosperity™;AE Prosperity;121.99999809265137
script;AL Hermaiona;AL Hermaiona Regular;121.99999809265137
script;ALS Agrus™;Agrus;97.99999952316284
script;ALS Dulsinea™;Dulsinea;90.0
script;ALS FinlandiaScript™;ALS FinlandiaScript Bold;-
script;ALS FinlandiaScript™;ALS FinlandiaScript Frost;-
script;ALS FinlandiaScript™;ALS FinlandiaScript;-
script;ALS Fuchsia™;ALS Fuchsia;96.99999952316284
script;ALS Klementina™;Klementina;121.99999809265137
script;ALS Klinkopis™;Klinkopis;-
script;ALS Scripticus™;ALS Scripticus Bold;90.0
script;ALS Scripticus™;ALS Scripticus;90.0
script;ALS SyysScript;ALS SyysScript Eco;90.0
script;ALS SyysScript;ALS SyysScript Felt Tip Eco;90.0
script;ALS SyysScript;ALS SyysScript Felt Tip;90.0
script;ALS SyysScript;ALS SyysScript;90.0
script;ARB 85 Poster Script;ARB 85 Poster Script CAS;116.99999809265137
script;ARB 85 Poster Script;ARB 85 Poster Script DTP;116.99999809265137
script;AS Nerd;AS Nerd;99.99999904632568
script;AS Palmer;AS Palmer Sans Aged;90.0
script;AS Palmer;AS Palmer Sans Regular;90.0
script;AS Palmer;AS Palmer Script Aged;112.99999809265137
script;AS Palmer;AS Palmer Script Regular;114.0
script;ATF Brush®;Brush ATF Black;135.0
script;ATF Brush®;Brush ATF Bold;-
script;ATF Brush®;Brush ATF Book;-
script;ATF Brush®;Brush ATF Light;135.0
script;ATF Brush®;Brush ATF;-
script;AZ Claire;AZClaire;94.99999952316284
