Category;Family;StyleName;Slope
serif; OC Bartok; OC Bartok Bold Oblique;102.0
serif; OC Bartok; OC Bartok Bold;90.0
serif; OC Bartok; OC Bartok Demi Oblique;102.0
serif; OC Bartok; OC Bartok Demi;90.0
serif; OC Bartok; OC Bartok Engraved;90.0
serif; OC Bartok; OC Bartok Light Oblique;102.0
serif; OC Bartok; OC Bartok Light;90.0
serif; OC Bartok; OC Bartok Medium Oblique;102.0
serif; OC Bartok; OC Bartok Medium;90.0
serif; OC Bartok; OC Bartok Regular Oblique;102.0
serif; OC Bartok; OC Bartok Regular;90.0
serif;1467 Pannartz Latin;1467 Pannartz Latin Normal;90.99999994039536
serif;1470 Jenson Latin;1470 Jenson Latin Bold;-
serif;1470 Jenson Latin;1470 Jenson Latin Normal;90.0
serif;1470 Jenson Latin;1470 Jenson Latin SC Bold;-
serif;1470 Jenson Latin;1470 Jenson Latin SC Normal;-
serif;1499 Alde Manuce Pro;1499 Alde Manuce Pro Italic;99.0
serif;1499 Alde Manuce Pro;1499 Alde Manuce Pro Normal;90.0
serif;1525 Durer Initials;1525 Durer Initials;90.0
serif;1529 Champ Fleury Initials;1529 Champ Fleury Initials;90.0
serif;1529 Champ Fleury Initials;1529 Champ Fleury Pro;90.0
serif;1530 Garamond;1530 Garamond Archaics;90.0
serif;1530 Garamond;1530 Garamond Extra Italic;-
serif;1530 Garamond;1530 Garamond Extra;-
serif;1530 Garamond;1530 Garamond Italic;100.99999904632568
serif;1530 Garamond;1530 Garamond Roman;90.0
serif;1530 Garamond;1530 Garamond SC;90.0
serif;1530 Garamond;1530 Garamond;90.0
serif;1533 GLC Augereau Pro;1533 GLC Augereau Pro Normal;-
serif;1543 Humane Petreius;1543 Humane Petreius Italic;-
serif;1543 Humane Petreius;1543 Humane Petreius Titl;-
serif;1543 Humane Petreius;1543 Humane Petreius;90.0
serif;1545 Faucheur;1545 Faucheur Italic;100.99999904632568
serif;1545 Faucheur;1545 Faucheur Normal;268.99998474121094
serif;1546 Poliphile;1546 Poliphile Italic;99.99999904632568
serif;1546 Poliphile;1546 Poliphile Normal;90.0
serif;1584 Pragmatica Lima;1584 Pragmatica Lima Italic;-
serif;1584 Pragmatica Lima;1584 Pragmatica Lima;-
serif;1584 Rinceau;1584 Rinceau Normal;91.99999988079071
serif;1589 Humane Bordeaux;1589 Humane Bordeaux Italic;-
serif;1589 Humane Bordeaux;1589 Humane Bordeaux Normal;90.0
serif;1590 Humane Warszawa;1590 Humane Warszawa;90.0
serif;1592 GLC Garamond;1592 GLC Garamond Bold;90.0
serif;1592 GLC Garamond;1592 GLC Garamond Italic;-
serif;1592 GLC Garamond;1592 GLC Garamond Normal;90.0
serif;1651 Alchemy;1651 Alchemy Italic;-
serif;1651 Alchemy;1651 Alchemy Normal;90.0
serif;1651 Alchemy;1651 Alchemy Symbols;244.0
serif;1669 Elzevir;1669 Elzevir Italic;105.0
serif;1669 Elzevir;1669 Elzevir Normal;90.0
serif;1676 Morden Map;1676 Morden Map Classic Italic;-
serif;1676 Morden Map;1676 Morden Map Classic;90.0
serif;1676 Morden Map;1676 Morden Map Italic;-
serif;1676 Morden Map;1676 Morden Map;90.0
serif;1689 Almanach;1689 Almanach Italic;-
serif;1689 Almanach;1689 Almanach Normal;90.99999994039536
serif;1689 Almanach;1689 Almanach Supplement Italic;-
serif;1689 Almanach;1689 Almanach Supplement Normal;-
serif;1689 Almanach;1689 Almanach Symbols;-
serif;1689 GLC Garamond Pro;1689 GLC Garamond Pro Italic;105.99999904632568
serif;1689 GLC Garamond Pro;1689 GLC Garamond Pro Normal;90.0
serif;1726 Real Española;1726 Real Española Italic;-
serif;1726 Real Española;1726 Real Española;90.99999994039536
serif;1751 GLC Copperplate;1751 GLC Copperplate Italic;111.0
serif;1751 GLC Copperplate;1751 GLC Copperplate Normal;90.0
serif;1751 GLC Copperplate;1751 GLC Copperplate Outline Italic;108.0
serif;1751 GLC Copperplate;1751 GLC Copperplate Outline Normal;90.0
serif;1751 GLC Copperplate;1751 GLC Copperplate Outline Small Caps;105.0
serif;1751 GLC Copperplate;1751 GLC Copperplate Small Caps;105.0
serif;1756 Dutch;1756 Dutch Italic;-
serif;1756 Dutch;1756 Dutch Normal;-
serif;1756 Dutch;1756 Dutch Supplement;-
serif;1769;1769 Display;90.0
serif;1776 Independence;1776 Independence Bold;-
serif;1776 Independence;1776 Independence Italic;-
serif;1776 Independence;1776 Independence Normal;-
serif;1785 GLC Baskerville;1785 GLC Baskerville Italic;106.99999809265137
serif;1785 GLC Baskerville;1785 GLC Baskerville;90.99999994039536
serif;1786 GLC Fournier;1786 GLC Fournier Caps Normal;-
serif;1786 GLC Fournier;1786 GLC Fournier Italic;109.99999809265137
serif;1786 GLC Fournier;1786 GLC Fournier Narrow Italic;108.99999809265137
serif;1786 GLC Fournier;1786 GLC Fournier Narrow Normal;90.0
serif;1786 GLC Fournier;1786 GLC Fournier Normal;90.0
serif;1786 GLC Fournier;1786 GLC Fournier Titling Normal;268.99998474121094
serif;1790 Royal Printing;1790 Royal Printing Caps Italic;105.99999904632568
serif;1790 Royal Printing;1790 Royal Printing Caps Normal;90.0
serif;1790 Royal Printing;1790 Royal Printing Italic;109.99999809265137
serif;1790 Royal Printing;1790 Royal Printing Normal;90.0
serif;1805 Jaeck Map;1805 Jaeck Map Italic;-
serif;1805 Jaeck Map;1805 Jaeck Map Normal;-
serif;1812;1812 Black;90.0
serif;1812;1812 Dusky;90.0
serif;1812;1812 Inline;90.0
serif;1812;1812 Mirage;90.0
serif;1812;1812 Moony Black Shadow;90.0
serif;1812;1812 Moony Dark;90.0
serif;1812;1812 Moony;90.0
serif;1812;1812 Night;90.0
serif;1812;1812 Origin;90.0
serif;1812;1812 Outline;90.0
serif;1812;1812 Silver;90.0
serif;1812;1812 Sunny Black Shadow;90.0
serif;1812;1812 Sunny Dark;90.0
serif;1812;1812 Sunny;90.0
serif;1820 Modern;1820 Modern Italic;111.99999809265137
serif;1820 Modern;1820 Modern Large;90.99999994039536
serif;1820 Modern;1820 Modern Narrow;90.0
serif;1820 Modern;1820 Modern;90.0
serif;1822 GLC Caslon Pro;1822 GLC Caslon Italic;117.99999809265137
serif;1822 GLC Caslon Pro;1822 GLC Caslon Normal;90.0
serif;1822 GLC Caslon Pro;1822 GLC Caslon Pro Italic;116.99999809265137
serif;1822 GLC Caslon Pro;1822 GLC Caslon Pro Normal;90.0
serif;1890 Notice;1890 Notice Italic;99.0
serif;1890 Notice;1890 Notice Large Italic;97.99999952316284
serif;1890 Notice;1890 Notice Large Normal;180.0
serif;1890 Notice;1890 Notice Normal;90.0
serif;1906 Fantasio;1906 Fantasio;90.0
serif;1906 French News;1906 French News Bold Italic;103.99999904632568
serif;1906 French News;1906 French News Bold;90.0
serif;1906 French News;1906 French News Caps Bold Italic;103.99999904632568
serif;1906 French News;1906 French News Caps Bold;90.0
serif;1906 French News;1906 French News Caps Italic;105.0
serif;1906 French News;1906 French News Caps Normal;90.0
serif;1906 French News;1906 French News Italic;102.99999904632568
serif;1906 French News;1906 French News Normal;90.0
serif;1906 Titrage;1906 Titrage Black;90.0
serif;1906 Titrage;1906 Titrage SC Black;-
serif;1913 Typewriter Carbon;1913 Typewriter Carbon Bold;-
serif;1913 Typewriter Carbon;1913 Typewriter Carbon Normal;-
serif;1917 Stencil;1917 Stencil Monospace;93.0
serif;1917 Stencil;1917 Stencil Proportional;93.0
serif;1920 My Toy Print;1920 My Toy Print Bold;-
serif;1920 My Toy Print;1920 My Toy Print Normal;-
serif;1925 My Toy Print Deluxe Pro;1925 My Toy Print Deluxe Pro Bold;-
serif;1925 My Toy Print Deluxe Pro;1925 My Toy Print Deluxe Pro Normal;-
serif;2009 GLC Plantin;2009 GLC Plantin Italic;105.0
serif;2009 GLC Plantin;2009 GLC Plantin Normal;90.0
serif;2009 Primitive;2009 Primitive;90.0
serif;2010 Pipo;2010 Pipo Classic Italic;108.0
serif;2010 Pipo;2010 Pipo Classic;264.99998474121094
serif;2010 Pipo;2010 Pipo Pro Italic;108.0
serif;2010 Pipo;2010 Pipo Pro;264.99998474121094
serif;21 Cent;21 Cent Black;90.0
serif;21 Cent;21 Cent Bold Italic;105.0
serif;21 Cent;21 Cent Bold;90.0
serif;21 Cent;21 Cent Condensed Italic;103.99999904632568
serif;21 Cent;21 Cent Condensed UltraLight Italic;105.0
serif;21 Cent;21 Cent Condensed UltraLight;90.0
serif;21 Cent;21 Cent Condensed;90.0
serif;21 Cent;21 Cent Italic;105.0
serif;21 Cent;21 Cent Thin;90.0
serif;21 Cent;21 Cent;90.0
serif;500 Guitars;500 Guitars;90.0
serif;57 nao;57 nao Bold Oblique;102.99999904632568
serif;57 nao;57 nao Bold;90.0
serif;57 nao;57 nao Medium Oblique;102.99999904632568
serif;57 nao;57 nao Medium;90.0
serif;57 nao;57 nao Regular Oblique;103.99999904632568
serif;57 nao;57 nao Regular;90.0
serif;ABTS Gunsmoke;ABTS Gunsmoke;90.0
serif;AC Honey Bee;AC Honey Bee Sans Bold Italic;103.99999904632568
serif;AC Honey Bee;AC Honey Bee Sans Bold;90.0
serif;AC Honey Bee;AC Honey Bee Sans Italic;103.99999904632568
serif;AC Honey Bee;AC Honey Bee Sans Regular;90.0
serif;AC Honey Bee;AC Honey Bee Serif Bold Italic;105.0
serif;AC Honey Bee;AC Honey Bee Serif Bold;90.0
serif;AC Honey Bee;AC Honey Bee Serif Italic;105.0
serif;AC Honey Bee;AC Honey Bee Serif Regular;90.0
serif;AF Hadrian;AF Hadrian Roman;90.0
serif;AF Retrospecta;AF Retrospecta Bold Italic;106.99999809265137
serif;AF Retrospecta;AF Retrospecta Bold;90.0
serif;AF Retrospecta;AF Retrospecta Italic;105.0
serif;AF Retrospecta;AF Retrospecta Roman;90.0
serif;AFerrugem;AFerrugem Regular;90.0
serif;AFerrugem;AFerrugem Thin;90.0
serif;ALS Bingley™;Bingley Italic;102.0
serif;ALS Bingley™;Bingley;90.0
serif;ALS Meringue;Meringue Italic;102.0
serif;ALS Meringue;Meringue;90.0
serif;ALS Mirta™;Mirta Bold Italic;108.0
serif;ALS Mirta™;Mirta Bold;90.0
serif;ALS Mirta™;Mirta Italic;108.0
serif;ALS Mirta™;Mirta;90.0
serif;AT Carterwood;AT Carterwood Regular;90.0
serif;AT Glanela;AT Glanela Regular;90.0
serif;AT Move Herengracht;AT Move Herengracht;90.0
serif;AT Move Specx Stncl™;AT Move Specx Stncl;90.0
serif;AT Move Specx™;AT Move Specx;90.0
serif;ATF Garamond®;Garamond ATF Micro Bold Italic;111.0
serif;ATF Garamond®;Garamond ATF Micro Bold;90.0
serif;ATF Garamond®;Garamond ATF Micro Italic;109.99999809265137
serif;ATF Garamond®;Garamond ATF Micro Medium Italic;109.99999809265137
serif;ATF Garamond®;Garamond ATF Micro Medium;90.0
serif;ATF Garamond®;Garamond ATF Micro;90.0
serif;ATF Garamond®;Garamond ATF SubHead Bold Italic;109.99999809265137
serif;ATF Garamond®;Garamond ATF SubHead Bold;90.0
serif;ATF Garamond®;Garamond ATF SubHead Italic;108.99999809265137
serif;ATF Garamond®;Garamond ATF SubHead Med Italic;108.99999809265137
serif;ATF Garamond®;Garamond ATF SubHead Med;90.0
serif;ATF Garamond®;Garamond ATF SubHead;90.0
serif;ATF Garamond®;Garamond ATF Text Bold Italic;109.99999809265137
serif;ATF Garamond®;Garamond ATF Text Bold;90.0
serif;ATF Garamond®;Garamond ATF Text Italic;108.99999809265137
serif;ATF Garamond®;Garamond ATF Text Medium Italic;109.99999809265137
serif;ATF Garamond®;Garamond ATF Text Medium;90.0
serif;ATF Garamond®;Garamond ATF Text;90.0
serif;AW Conqueror Std Didot;AW Conqueror Std Didot Bold;90.0
serif;AW Conqueror Std Didot;AW Conqueror Std Didot Light;90.0
serif;AW Conqueror Std Didot;AW Conqueror Std Didot Regular;90.0
serif;AZ Barista;AZBarista;90.0
serif;AZ Black;AZ Black;90.0
serif;AZ Brand;AZ Brand;-
serif;AZ College Brushed;AZ College Brushed;268.0
serif;AZ Harpers July;AZHarpers July;90.0
serif;AZ Placid;AZ Placid;90.0
serif;AZ Plug Italic;AZPlug Italic;111.99999809265137
serif;AZ Rough Fart;AZ Rough Fart;90.0
serif;AZ Sailor Tattoo;AZ Sailor Tattoo;90.0
serif;AZ Vintage Tattoo;AZ Vintage Tattoo;90.0
serif;AZ Wings;AZ Wings;90.0
serif;Aachen SB™;Aachen SB Bold;90.0
serif;Aachen SB™;Aachen SB Medium;90.0
serif;Aachen SH™;Aachen SH Bold;90.0
serif;Aachen SH™;Aachen SH Medium;90.0
serif;Aachen;Aachen Bold;90.0
serif;Aachen;Aachen;90.0
serif;Aachen™;Aachen Pro Bold;90.0
serif;Aachen™;Aachen Pro Medium;90.0
serif;Aachen™;Aachen Std Bold;90.0
serif;Aachen™;Aachen Std Medium;90.0
serif;Aaux Office;Aaux Office Bold Italic;102.0
serif;Aaux Office;Aaux Office Bold;90.0
serif;Aaux Office;Aaux Office Italic;102.0
serif;Aaux Office;Aaux Office Light Italic;100.99999904632568
serif;Aaux Office;Aaux Office Light;90.0
serif;Aaux Office;Aaux Office Medium Italic;102.0
serif;Aaux Office;Aaux Office Medium;90.0
serif;Aaux Office;Aaux Office Regular;90.0
serif;Abaddon;Abaddon;90.0
serif;Abbiente™;Abbiente Italic;96.0
serif;Abbiente™;Abbiente;90.0
serif;Abelard;Abelard Bold Italic;99.99999904632568
serif;Abelard;Abelard Bold;90.0
serif;Abelard;Abelard Extrabold Italic;99.99999904632568
serif;Abelard;Abelard Extrabold;90.0
serif;Abelard;Abelard Italic;99.99999904632568
serif;Abelard;Abelard Light Italic;99.99999904632568
serif;Abelard;Abelard Light;90.0
serif;Abelard;Abelard Medium Italic;99.99999904632568
serif;Abelard;Abelard Medium;90.0
serif;Abelard;Abelard Semibold Italic;99.99999904632568
serif;Abelard;Abelard Semibold;90.0
serif;Abelard;Abelard;90.0
serif;Abi Nouveau JNL;Abi Nouveau JNL;90.0
