Family;Glyph;Height;Width
Arsilon;H;240;196
Arsilon;a;108;130
Arsilon;k;231;130
Arsilon;o;114;112
Arsilon;p;217;172
Arsilon;x;136;153
Bayshore;H;212;187
Bayshore;a;48;106
Bayshore;k;120;109
Bayshore;o;47;84
Bayshore;p;123;138
Bayshore;x;52;116
Belluga;H;337;369
Belluga;a;74;137
Belluga;k;278;165
Belluga;o;91;98
Belluga;p;281;210
Belluga;x;132;105
Better Times;H;216;139
Better Times;a;77;115
Better Times;k;159;106
Better Times;o;73;84
Better Times;p;136;76
Better Times;x;123;89
Bon Vivant Family;H;310;345
Bon Vivant Family;a;44;101
Bon Vivant Family;k;178;150
Bon Vivant Family;o;68;55
Bon Vivant Family;p;215;220
Bon Vivant Family;x;138;165
Born Ready;H;280;166
Born Ready;a;140;89
Born Ready;k;235;106
Born Ready;o;114;110
Born Ready;p;236;147
Born Ready;x;132;98
Bourton;H;183;175
Bourton;a;102;101
Bourton;k;146;90
Bourton;o;102;67
Bourton;p;146;81
Bourton;x;99;112
Chin Up Buttercup;H;196;152
Chin Up Buttercup;a;68;68
Chin Up Buttercup;k;163;78
Chin Up Buttercup;o;59;60
Chin Up Buttercup;p;143;58
Chin Up Buttercup;x;86;60
FF Market;H;13;120
FF Market;a;13;120
FF Market;k;13;120
FF Market;o;13;120
FF Market;p;13;120
FF Market;x;13;120
FF Tartine Script;H;13;120
FF Tartine Script;a;13;120
FF Tartine Script;k;13;120
FF Tartine Script;o;13;120
FF Tartine Script;p;13;120
FF Tartine Script;x;13;120
Futura Now;H;173;144
Futura Now;a;118;104
Futura Now;k;172;102
Futura Now;o;118;108
Futura Now;p;165;116
Futura Now;x;114;99
Gambler;H;148;155
Gambler;a;84;96
Gambler;k;121;103
Gambler;o;84;89
Gambler;p;120;110
Gambler;x;86;80
Hanley Pro;H;252;266
Hanley Pro;a;114;156
Hanley Pro;k;166;157
Hanley Pro;o;117;146
Hanley Pro;p;170;195
Hanley Pro;x;113;157
Hello Paris;H;148;131
Hello Paris;a;12;51
Hello Paris;k;98;90
Hello Paris;o;23;59
Hello Paris;p;77;86
Hello Paris;x;33;132
Intro Rust;H;177;183
Intro Rust;a;99;127
Intro Rust;k;177;113
Intro Rust;o;101;108
Intro Rust;p;162;121
Intro Rust;x;97;122
Jeff Script;H;185;144
Jeff Script;a;124;83
Jeff Script;k;178;115
Jeff Script;o;104;90
Jeff Script;p;193;130
Jeff Script;x;137;112
La Luxes;H;288;211
La Luxes;a;32;63
La Luxes;k;190;97
La Luxes;o;36;55
La Luxes;p;137;98
La Luxes;x;82;76
Lumios Marker;H;177;137
Lumios Marker;a;86;110
Lumios Marker;k;166;91
Lumios Marker;o;86;68
Lumios Marker;p;196;115
Lumios Marker;x;97;78
Madina Script;H;301;237
Madina Script;a;128;110
Madina Script;k;256;118
Madina Script;o;91;73
Madina Script;p;234;164
Madina Script;x;191;133
Moon Time;H;216;127
Moon Time;a;78;91
Moon Time;k;169;105
Moon Time;o;65;80
Moon Time;p;178;128
Moon Time;x;85;103
Nexa Rust;H;177;220
Nexa Rust;a;110;143
Nexa Rust;k;175;143
Nexa Rust;o;110;138
Nexa Rust;p;185;169
Nexa Rust;x;110;140
Northwell;H;249;136
Northwell;a;58;111
Northwell;k;238;112
Northwell;o;56;81
Northwell;p;209;95
Northwell;x;93;108
PT Script Zephyr;H;150;199
PT Script Zephyr;a;92;100
PT Script Zephyr;k;180;101
PT Script Zephyr;o;75;70
PT Script Zephyr;p;167;116
PT Script Zephyr;x;105;86
Palmer Lake;H;129;93
Palmer Lake;a;80;61
Palmer Lake;k;142;75
Palmer Lake;o;77;55
Palmer Lake;p;142;102
Palmer Lake;x;83;65
Paper Tiger;H;167;229
Paper Tiger;a;109;118
Paper Tiger;k;145;113
Paper Tiger;o;107;93
Paper Tiger;p;144;132
Paper Tiger;x;108;115
Selfie;H;197;325
Selfie;a;94;88
Selfie;k;149;107
Selfie;o;94;72
Selfie;p;158;117
Selfie;x;95;106
Seventies;H;243;341
Seventies;a;103;113
Seventies;k;158;124
Seventies;o;104;93
Seventies;p;150;139
Seventies;x;131;116
Silver South;H;213;158
Silver South;a;63;104
Silver South;k;143;91
Silver South;o;54;32
Silver South;p;128;57
Silver South;x;86;102
Skate;H;182;182
Skate;a;130;116
Skate;k;180;114
Skate;o;130;104
Skate;p;180;124
Skate;x;130;139
Summer Loving;H;197;127
Summer Loving;a;98;66
Summer Loving;k;125;101
Summer Loving;o;89;60
Summer Loving;p;99;77
Summer Loving;x;131;95
Supa Mega Fantastic;H;213;182
Supa Mega Fantastic;a;88;101
Supa Mega Fantastic;k;181;122
Supa Mega Fantastic;o;85;83
Supa Mega Fantastic;p;160;155
Supa Mega Fantastic;x;99;124
Thirsty Rough;H;245;261
Thirsty Rough;a;138;169
Thirsty Rough;k;185;177
Thirsty Rough;o;138;160
Thirsty Rough;p;185;196
Thirsty Rough;x;138;153
Turbinado;H;182;131
Turbinado;a;83;90
Turbinado;k;150;74
Turbinado;o;83;80
Turbinado;p;154;108
Turbinado;x;94;77
Avenir Next;H;178;134
Avenir Next;a;124;102
Avenir Next;k;190;103
Avenir Next;o;124;126
