Family;Category;Glyph;Height;Width
Arsilon Regular;Hand;H;240;196
Arsilon Regular;Hand;a;108;130
Arsilon Regular;Hand;k;231;130
Arsilon Regular;Hand;o;114;112
Arsilon Regular;Hand;p;217;172
Arsilon Regular;Hand;x;136;153
Bayshore Bayshore;Hand;H;212;187
Bayshore Bayshore;Hand;a;48;106
Bayshore Bayshore;Hand;k;120;109
Bayshore Bayshore;Hand;o;47;84
Bayshore Bayshore;Hand;p;123;138
Bayshore Bayshore;Hand;x;52;116
Belluga;Hand;H;337;369
Belluga;Hand;a;74;137
Belluga;Hand;k;278;165
Belluga;Hand;o;91;98
Belluga;Hand;p;281;210
Belluga;Hand;x;132;105
Better Times Regular;Hand;H;216;139
Better Times Regular;Hand;a;77;115
Better Times Regular;Hand;k;159;106
Better Times Regular;Hand;o;73;84
Better Times Regular;Hand;p;136;76
Better Times Regular;Hand;x;123;89
Bon Vivant Family Script;Hand;H;310;345
Bon Vivant Family Script;Hand;a;44;101
Bon Vivant Family Script;Hand;k;178;150
Bon Vivant Family Script;Hand;o;68;55
Bon Vivant Family Script;Hand;p;215;220
Bon Vivant Family Script;Hand;x;138;165
Born Ready;Hand;H;280;166
Born Ready;Hand;a;140;89
Born Ready;Hand;k;235;106
Born Ready;Hand;o;114;110
Born Ready;Hand;p;236;147
Born Ready;Hand;x;132;98
Bourton Script Light;Hand;H;183;175
Bourton Script Light;Hand;a;102;101
Bourton Script Light;Hand;k;146;90
Bourton Script Light;Hand;o;102;67
Bourton Script Light;Hand;p;146;81
Bourton Script Light;Hand;x;99;112
FF Market Std Regular;Hand;H;13;120
FF Market Std Regular;Hand;a;13;120
FF Market Std Regular;Hand;k;13;120
FF Market Std Regular;Hand;o;13;120
FF Market Std Regular;Hand;p;13;120
FF Market Std Regular;Hand;x;13;120
FF Tartine Script Std Black;Hand;H;13;120
FF Tartine Script Std Black;Hand;a;13;120
FF Tartine Script Std Black;Hand;k;13;120
FF Tartine Script Std Black;Hand;o;13;120
FF Tartine Script Std Black;Hand;p;13;120
FF Tartine Script Std Black;Hand;x;13;120
Futura Now Script ExtraLight;Hand;H;173;144
Futura Now Script ExtraLight;Hand;a;118;104
