Category;Family;StyleName;StyleId
script;1420 Gothic Script;1420 Gothic Script Normal;158332
script;1431 Humane Niccoli;1431 Humane Niccoli Normal;185143
script;1475 Bastarde Manual;1475 Bastarde Manual Normal;158594
script;1491 Cancellaresca;1491 Cancellaresca Normal;174787
script;1522 Vicentino;1522 Vicentino;207912
script;1536 Civilite Manual;1536 Civilite Manual;199247
script;1540 Mercator Script;1540 Mercator Script Normal;187312
script;1557 Civilité Granjon;1557 Civilite Granjon Pro;189071
script;1557 Italique;1557_Italique;157416
script;161 Vergilius;161 Vergilius;186820
script;1610 Cancellaresca;1610 Cancellaresca Normal;157586
script;1613 Basilius;1613 Basilius;222607
script;1634 René Descartes;1634 Rene Descartes Normal;183161
script;1638 Civilite Manual;1638 Civilite Manual;197194
script;1648 Chancellerie;1648 Chancellerie;200128
script;1672 Isaac Newton;1672 Isaac Newton;210452
script;1682 Writhed Hand;1682 Writhed Hand;200625
script;1695 Captain Flint;1695 Captain Flint;201345
script;1695 Captain Flint;1695 Captain Flint Ru;210563
script;1715 Jonathan Swift™;1715 Jonathan Swift;203573
script;1741 Financiere;1741 Financiere Italic;181285
script;1741 Financiere;1741 Financiere Title Italic;181286
script;1742 Civilite;1742 Civilite;155616
script;1781 La Fayette;1781 La Fayette Normal;196110
script;1791 Constitution;1791 Constitution;202552
script;1792 La Marseillaise;1792 La Marseillaise;202120
script;1805 Austerlitz Script;1805 Austerlitz Script Light;194967
script;1809 Homer;1809 Homer;198275
script;1815 Waterloo;1815 Waterloo Normal;158842
script;1845 Mistress;1845 Mistress Italic;182726
script;1848 Barricades;1848 Barricades Italic;173975
script;1859 Solferino;1859 Solferino Light;174370
script;1859 Solferino;1859 Solferino Light Caps;174371
script;1863 Gettysburg;1863 Gettysburg Bold;158967
script;1863 Gettysburg;1863 Gettysburg Normal;169217
script;1864 GLC Monogram;1864 GLC Monogram OP;198704
script;1864 GLC Monogram;1864 GLC Monogram AB;198705
script;1864 GLC Monogram;1864 GLC Monogram ST;198706
