Category;Family;StyleName;StyleId
serif;-OC Bartok;-OC Bartok Light;356024
serif;-OC Bartok;-OC Bartok Light Oblique;356025
serif;-OC Bartok;-OC Bartok Regular;356026
serif;-OC Bartok;-OC Bartok Regular Oblique;356027
serif;-OC Bartok;-OC Bartok Medium;356028
serif;-OC Bartok;-OC Bartok Medium Oblique;356029
serif;-OC Bartok;-OC Bartok Demi;356030
serif;-OC Bartok;-OC Bartok Demi Oblique;356031
serif;-OC Bartok;-OC Bartok Bold;356032
serif;-OC Bartok;-OC Bartok Bold Oblique;356033
serif;-OC Bartok;-OC Bartok Engraved;365786
serif;1467 Pannartz Latin;1467 Pannartz Latin Normal;172139
serif;1470 Jenson Latin;1470 Jenson Latin Normal;171911
serif;1470 Jenson Latin;1470 Jenson Latin Bold;171912
serif;1470 Jenson Latin;1470 Jenson Latin SC Normal;171913
serif;1470 Jenson Latin;1470 Jenson Latin SC Bold;171914
serif;1499 Alde Manuce Pro;1499 Alde Manuce Pro Normal;188393
serif;1499 Alde Manuce Pro;1499 Alde Manuce Pro Italic;188394
serif;1525 Durer Initials;1525 Durer Initials;190216
serif;1529 Champ Fleury Initials;1529 Champ Fleury Pro;193771
serif;1529 Champ Fleury Initials;1529 Champ Fleury Initials;193773
serif;1530 Garamond;1530 Garamond Extra Italic;8345
serif;1530 Garamond;1530 Garamond Archaics;8346
serif;1530 Garamond;1530 Garamond Roman;8347
serif;1530 Garamond;1530 Garamond Extra;8348
serif;1530 Garamond;1530 Garamond Italic;8349
serif;1530 Garamond;1530 Garamond SC;8350
serif;1530 Garamond;1530 Garamond;8351
serif;1533 GLC Augereau Pro;1533 GLC Augereau Pro Normal;190625
serif;1543 Humane Petreius;1543 Humane Petreius Titl;219831
serif;1543 Humane Petreius;1543 Humane Petreius Italic;219832
serif;1543 Humane Petreius;1543 Humane Petreius;219833
serif;1545 Faucheur;1545 Faucheur Normal;202949
serif;1545 Faucheur;1545 Faucheur Italic;202950
serif;1546 Poliphile;1546 Poliphile Normal;183997
serif;1546 Poliphile;1546 Poliphile Italic;183998
serif;1584 Pragmatica Lima;1584 Pragmatica Lima;204854
serif;1584 Pragmatica Lima;1584 Pragmatica Lima Italic;204855
serif;1584 Rinceau;1584 Rinceau Normal;160686
serif;1589 Humane Bordeaux;1589 Humane Bordeaux Italic;159297
serif;1589 Humane Bordeaux;1589 Humane Bordeaux Normal;159298
serif;1590 Humane Warszawa;1590 Humane Warszawa;177284
serif;1592 GLC Garamond;1592 GLC Garamond Normal;162444
serif;1592 GLC Garamond;1592 GLC Garamond Bold;162445
serif;1592 GLC Garamond;1592 GLC Garamond Italic;171762
serif;1651 Alchemy;1651 Alchemy Normal;187791
serif;1651 Alchemy;1651 Alchemy Italic;187792
serif;1651 Alchemy;1651 Alchemy Symbols;187793
serif;1669 Elzevir;1669 Elzevir Italic;201657
serif;1669 Elzevir;1669 Elzevir Normal;201658
serif;1676 Morden Map;1676 Morden Map;205546
serif;1676 Morden Map;1676 Morden Map Italic;205547
serif;1676 Morden Map;1676 Morden Map Classic Italic;205548
serif;1676 Morden Map;1676 Morden Map Classic;205549
serif;1689 Almanach;1689 Almanach Supplement Italic;171487
