Category;Family;StyleName;StyleId
sans serif;-OC Pajaro;-OC Pajaro Regular;356012
sans serif;-OC Pajaro;-OC Pajaro Regular Oblique;356013
sans serif;-OC Pajaro;-OC Pajaro Medium;356014
sans serif;-OC Pajaro;-OC Pajaro Medium Oblique;356015
sans serif;-OC Pajaro;-OC Pajaro Demi;356016
sans serif;-OC Pajaro;-OC Pajaro Demi Oblique;356017
sans serif;-OC Pajaro;-OC Pajaro Bold;356018
sans serif;-OC Pajaro;-OC Pajaro Bold Oblique;356019
sans serif;-OC Pajaro;-OC Pajaro Extra Bold;356020
sans serif;-OC Pajaro;-OC Pajaro Extra Bold Oblique;356021
sans serif;-OC Pajaro;-OC Pajaro Black;356022
sans serif;-OC Pajaro;-OC Pajaro Black Oblique;356023
sans serif;-OC Pajaro;-OC Pajaro Counter Bold;357458
sans serif;-OC Pajaro;-OC Pajaro Round Bold;357459
sans serif;066 Army;066 Army;134756
sans serif;10.12™;10.12 Commercial;183888
sans serif;2 Mass J1808;2 Mass J1808 Regular;431188
sans serif;2 Mass J1808;2 Mass J1808 Medium;431189
sans serif;2 Mass J1808;2 Mass J1808 Semi Bold;431190
sans serif;2 Mass J1808;2 Mass J1808 Bold;431191
sans serif;2 Mass J1808;2 Mass J1808 Extra Bold;431192
sans serif;21st;21st SuperFine Italic;159763
sans serif;21st;21st Regular;159764
sans serif;21st;21st SuperFine;159765
sans serif;21st;21st Fine;159766
sans serif;21st;21st Fine Italic;159767
sans serif;21st;21st Bold;159768
sans serif;21st;21st Italic;159769
sans serif;21st;21st Bold Italic;159770
sans serif;21st;21st Black;159848
sans serif;21st;21st Outline Italic;159849
sans serif;21st;21st Round Black Italic;159850
sans serif;21st;21st Outline;159851
sans serif;21st;21st Black Italic;159852
sans serif;21st;21st Round Black;159853
sans serif;21st;21st Black;90146
sans serif;21st;21st Black Italic;90147
sans serif;21st;21st Outline;90148
sans serif;21st;21st Outline Italic;90149
sans serif;21st;21st Round Black;90150
sans serif;21st;21st Round Black Italic;90151
sans serif;21st;21st Bold;90152
sans serif;21st;21st Bold Italic;90153
sans serif;21st;21st Fine;90154
sans serif;21st;21st Fine Italic;90155
sans serif;21st;21st Regular;90156
sans serif;21st;21st Italic;90157
sans serif;21st;21st SuperFine;90158
sans serif;21st;21st SuperFine Italic;90159
sans serif;360;360;136396
sans serif;3D Cocoro™;3D Cocoro Bo;243808
sans serif;3D Cocoro™;3D Cocoro;243809
sans serif;42nd Street;42nd Street;130815
sans serif;45 Degrees;45 Degrees UltraLight;159830
sans serif;45 Degrees;45 Degrees UltraLight Italic;159831
sans serif;45 Degrees;45 Degrees Light Italic;159832
sans serif;45 Degrees;45 Degrees Italic;159833
sans serif;45 Degrees;45 Degrees Regular;159834
sans serif;45 Degrees;45 Degrees Light;159835
sans serif;52-Kfx;52-Kfx High;307163
sans serif;52-Kfx;52-Kfx Mid;307164
sans serif;52-Kfx;52-Kfx Low;307165
sans serif;7 Seconds;7 Seconds Falling;84996
sans serif;7 Seconds;7 Seconds Regular;84997
sans serif;90 Flinders Street;Flinders Street;153518
sans serif;946 Latin;946 Latin Dense 1;350532
sans serif;946 Latin;946 Latin Dense 1 L;350533
sans serif;946 Latin;946 Latin Dense 1 R;350534
sans serif;946 Latin;946 Latin Dense 2;350535
sans serif;946 Latin;946 Latin Dense 2 L;350536
sans serif;946 Latin;946 Latin Dense 2 R;350537
sans serif;946 Latin;946 Latin Dense 3;350538
sans serif;946 Latin;946 Latin Dense 3 L;350539
sans serif;946 Latin;946 Latin Dense 3 R;350540
sans serif;946 Latin;946 Latin Dense 4;350541
sans serif;946 Latin;946 Latin Dense 4 L;350542
sans serif;946 Latin;946 Latin Dense 4 R;350543
sans serif;946 Latin;946 Latin Dense 5;350544
sans serif;946 Latin;946 Latin Dense 5 L;350545
sans serif;946 Latin;946 Latin Dense 5 R;350546
sans serif;946 Latin;946 Latin Regular 1;350547
sans serif;946 Latin;946 Latin Regular 1 L;350548
sans serif;946 Latin;946 Latin Regular 1 R;350549
sans serif;946 Latin;946 Latin Regular 2;350550
sans serif;946 Latin;946 Latin Regular 2 L;350551
sans serif;946 Latin;946 Latin Regular 3;350552
sans serif;946 Latin;946 Latin Regular 2 R;350553
sans serif;946 Latin;946 Latin Regular 3 L;350554
sans serif;946 Latin;946 Latin Semidense 4;350555
sans serif;946 Latin;946 Latin Regular 3 R;350556
sans serif;946 Latin;946 Latin Regular 4 L;350557
sans serif;946 Latin;946 Latin Regular 4 R;350558
sans serif;946 Latin;946 Latin Regular 5;350559
sans serif;946 Latin;946 Latin Regular 5 L;350560
sans serif;946 Latin;946 Latin Semidense 1;350561
sans serif;946 Latin;946 Latin Semidense 1 L;350562
